Character,Position,Total rounds,Location,Round 1 points,Round 2 Points,Round 3 points,Round 4 points,Round 5 points,Round 6 points
Beric Dondarrion,LEFT,1,Westeros,612,,,,,
King Robert,LEFT,1,Westeros,1500,,,,,
High Sparrow,LEFT,1,Westeros,716,,,,,
Qyburn,LEFT,1,Westeros,1554,,,,,
Podrick Payne,LEFT,1,Westeros,1784,,,,,
Roose Bolton,LEFT,1,Westeros,174,,,,,
Melisandre,LEFT,1,other,1666,,,,,
Maester Luwin,LEFT,1,Westeros,422,,,,,
Jaqen Hâ€™gar,LEFT,1,other,1885,,,,,
Oberyn Martell,LEFT,1,Westeros,1923,,,,,
The Night King,LEFT,1,Westeros,1714,,,,,
Barristan Selmy,LEFT,1,Westeros,1579,,,,,
Gilly,LEFT,1,Westeros,512,,,,,
Lancel Lannister,LEFT,1,Westeros,432,,,,,
Walder Frey,LEFT,1,Westeros,724,,,,,
Myrcella Baratheon,LEFT,1,Westeros,509,,,,,
Ygritte,LEFT,2,Westeros,2814,388,,,,
Ramsey Bolton,LEFT,2,Westeros,2643,794,,,,
Jorah Mormont,LEFT,2,Westeros,2453,566,,,,
Khal Drogo,LEFT,2,other,2560,405,,,,
Cersei,LEFT,2,Westeros,2307,1011,,,,
Grey Worm,LEFT,2,other,2450,857,,,,
Stannis Baratheon,LEFT,2,Westeros,3658,549,,,,
Yara Greyjoy,LEFT,2,Westeros,3370,555,,,,
Bran Stark,LEFT,3,Westeros,3533,1354,362,,,
Davos Seaworth,LEFT,3,Westeros,4055,1599,1089,,,
Robb Stark,LEFT,3,Westeros,2574,1274,1106,,,
Tormund Giantsbane ,LEFT,3,Westeros,3617,1674,1449,,,
Arya Stark,LEFT,4,Westeros,3761,1735,1780,822,,
Samwell Tarly,LEFT,4,Westeros,2267,1136,1779,1033,,
Sansa Stark,LEFT,5,Westeros,3587,1553,1564,1225,974,
Jon Snow,LEFT,6,Westeros,3781,1800,2564,1423,2043,1348
Lyanna Mormont,RIGHT,1,Westeros,1472,,,,,
Lord Varys,RIGHT,1,other,1652,,,,,
Jeor Mormont,RIGHT,1,Westeros,1852,,,,,
King Joffrey ,RIGHT,1,Westeros,1278,,,,,
Meera Reed,RIGHT,1,Westeros,587,,,,,
Euron Greyjoy,RIGHT,1,Westeros,895,,,,,
Osha,RIGHT,1,Westeros,482,,,,,
Renly Baratheon,RIGHT,1,Westeros,252,,,,,
Jojen Reed,RIGHT,1,Westeros,172,,,,,
Tommen Baratheon,RIGHT,1,Westeros,1209,,,,,
Mance Rayder,RIGHT,1,Westeros,1184,,,,,
The Mountain (Gregor Clegane),RIGHT,1,Westeros,113,,,,,
Hodor,RIGHT,1,Westeros,1965,,,,,
Loras Tyrell,RIGHT,1,Westeros,199,,,,,
Shae,RIGHT,1,other,761,,,,,
Shireen Baratheon,RIGHT,1,Westeros,2003,,,,,
Olenna Tyrell,RIGHT,2,Westeros,2421,858,,,,
Catelyn Stark,RIGHT,2,Westeros,2197,1000,,,,
Petyr Baelish aka Littlefinger,RIGHT,2,Westeros,3130,611,,,,
Bronn,RIGHT,2,Westeros,3535,783,,,,
Daario Naharis,RIGHT,2,other,2732,113,,,,
Tywin Lannister,RIGHT,2,Westeros,2761,581,,,,
Margaery Tyrell,RIGHT,2,Westeros,2012,615,,,,
Maester Aemon,RIGHT,2,Westeros,3152,1195,,,,
Missandei,RIGHT,3,other,2769,1100,942,,,
Brienne of Tarth,RIGHT,3,Westeros,3469,1501,1338,,,
The Hound (Sandor Clegane),RIGHT,3,Westeros,3846,1510,737,,,
Theon Greyjoy,RIGHT,3,Westeros,2085,1282,535,,,
Daenerys Targaryen,RIGHT,4,Westeros,2642,1285,1955,1031,,
Ned Stark,RIGHT,4,Westeros,3757,1486,2306,818,,
Jaime Lannister,RIGHT,5,Westeros,3781,1321,1518,1231,1149,
Tyrion Lannister,RIGHT,6,Westeros,3815,1974,2083,1373,1800,1072